MUNICIPIO,Y,X,W1,W2,N
Itaperuna,0.486,0.0975609756,0.12,0.0625,41
Penha,0.499,0.1463414634,0.1578947368,0.1363636364,41
Barretos,0.483,0.0975609756,0.0588235294,0.125,41
Camaçari,0.497,0.125,0.0909090909,0.1666666667,40
Caçapava,0.496,0.2,0.1818181818,0.2222222222,40
Itapema,0.489,0.15,0.1428571429,0.1578947368,40
Poá,0.484,0.125,0.12,0.1333333333,40
Osório,0.493,0.2,0.125,0.3125,40
Assis,0.487,0.15,0.0833333333,0.25,40
Carazinho,0.477,0.0769230769,0.05,0.1052631579,39
Ribeirão das Neves,0.496,0.1025641026,0.1481481481,0,39
Birigui,0.488,0.1282051282,0.0869565217,0.1875,39
Salto,0.494,0.0512820513,0.1052631579,0,39
Itaubal,0.544,0.0512820513,0.04,0.0714285714,39
Cabo de Santo Agostinho,0.491,0.0256410256,0.037037037,0,39
Porto,0.505,0.1025641026,0.1304347826,0.0625,39
Ourinhos,0.485,0.1794871795,0.1851851852,0.1666666667,39
Santa Bárbara d'Oeste,0.496,0.1538461538,0.1304347826,0.1875,39
Três Rios,0.478,0.1282051282,0.0555555556,0.1904761905,39
Rio do Sul,0.49,0.1052631579,0.1363636364,0.0625,38
Cachoeiro de Itapemirim,0.489,0.0789473684,0.1153846154,0,38
Timóteo,0.482,0.2631578947,0.1176470588,0.380952381,38
Videira,0.493,0.0789473684,0.1333333333,0.0434782609,38
Francisco Beltrão,0.494,0.1578947368,0.25,0,38
Lagoa Santa,0.49,0.0526315789,0.0833333333,0,38
Sumaré,0.497,0.1052631579,0.0555555556,0.15,38
Itanhaém,0.485,0.1578947368,0.1304347826,0.2,38
Barbacena,0.476,0.0526315789,0.04,0.0769230769,38
Campo Bom,0.491,0.1315789474,0.1034482759,0.2222222222,38
Caicó,0.484,0.0263157895,0.0322580645,0,38
Itaquaquecetuba,0.493,0.0810810811,0.08,0.0833333333,37
Arapiraca,0.476,0,0,0,37
Teófilo Otoni,0.478,0.1621621622,0.1538461538,0.1818181818,37
Jaú,0.49,0.0810810811,0.0476190476,0.125,37
Valença,0.48,0.1351351351,0.2222222222,0.0526315789,37
Santa Rosa,0.488,0.1081081081,0,0.2666666667,37
Sertãozinho,0.497,0.0810810811,0.1666666667,0,37
Lorena,0.483,0.0833333333,0.1176470588,0.0526315789,36
Alegrete,0.49,0.1111111111,0.0416666667,0.25,36
Caieiras,0.489,0.2222222222,0.2,0.25,36
Sapucaia do Sul,0.487,0.1111111111,0.0416666667,0.25,36
Abreu e Lima,0.478,0.0555555556,0.0769230769,0,36
Valparaíso de Goiás,0.486,0.1111111111,0.0909090909,0.1428571429,36
Parauapebas,0.506,0.1111111111,0.1304347826,0.0769230769,36
Vacaria,0.49,0.1142857143,0.1578947368,0.0625,35
Três Lagoas,0.496,0.1142857143,0.1818181818,0,35
Sabará,0.482,0.0857142857,0.1176470588,0.0555555556,35
Guaratinguetá,0.481,0,0,0,35
Araucária,0.5,0.0857142857,0.0434782609,0.1666666667,35
Farroupilha,0.492,0.0588235294,0.1,0,34
Sinop,0.509,0.0882352941,0.04,0.2222222222,34
Vespasiano,0.488,0.0294117647,0.04,0,34
Vassouras,0.476,0.1818181818,0.1176470588,0.25,33
Camaquã,0.492,0.0303030303,0.0416666667,0,33
Cruzeiro,0.487,0.0606060606,0.05,0.0769230769,33
Muriaé,0.484,0.0606060606,0,0.1176470588,33
