MUNICIPIO,Y,X,W1,W2,N
Jandira,0.49,0.1612903226,0.1052631579,0.25,31
Patos,0.475,0.0322580645,0.0416666667,0,31
Votorantim,0.496,0.0967741935,0.0666666667,0.125,31
Barcelona,0.511,0,0,0,31
Corumbá,0.504,0,0,0,30
Jaguarão,0.487,0.1333333333,0.1111111111,0.1666666667,30
Passos,0.495,0.0333333333,0,0.0714285714,30
Parintins,0.513,0.0333333333,0.0625,0,30
Cachoeira do Sul,0.482,0,0,0,30
Rio Grande,0.482,0.1034482759,0.1428571429,0,29
São Francisco do Sul,0.498,0.1034482759,0.1428571429,0.0666666667,29
Matinhos,0.487,0.1034482759,0.1875,0,29
Itararé,0.491,0.0689655172,0.05,0.1111111111,29
Nova Odessa,0.495,0.1428571429,0,0.3333333333,28
Faro,0.519,0.0357142857,0,0.0588235294,28
Itapecerica da Serra,0.5,0.0714285714,0,0.2222222222,28
Cosmópolis,0.5,0.25,0.2727272727,0.2352941176,28
Camaragibe,0.479,0.1071428571,0.1052631579,0.1111111111,28
Itapeva,0.493,0.0357142857,0,0.0833333333,28
Mariana,0.49,0.0357142857,0.0588235294,0,28
Amparo,0.493,0.0357142857,0,0.1,28
Laguna,0.491,0.1071428571,0.1578947368,0,28
Sombrio,0.491,0,0,0,28
União da Vitória,0.49,0.0740740741,0.1111111111,0,27
Garopaba,0.503,0.1481481481,0.1764705882,0.1,27
Ponta Porã,0.494,0.037037037,0,0.1,27
Garibaldi,0.496,0.1481481481,0.25,0.0666666667,27
Catalão,0.503,0,0,0,27
Joaçaba,0.481,0.1481481481,0.1333333333,0.1666666667,27
Anchieta,0.505,0,0,0,27
Cianorte,0.487,0.037037037,0,0.1428571429,27
Pirassununga,0.489,0.0740740741,0.125,0,27
Santa Teresa,0.5,0.1111111111,0.2142857143,0,27
Caçador,0.495,0.0384615385,0.0666666667,0,26
Porto Seguro,0.5,0.0384615385,0,0.0909090909,26
Santos Dumont,0.486,0.1538461538,0.1538461538,0.1538461538,26
São Sebastião do Paraíso,0.495,0,0,0,26
Valparaíso,0.55,0.0384615385,0,0.0769230769,26
Paraíba do Sul,0.481,0.1538461538,0.2142857143,0.0833333333,26
Juazeiro,0.49,0.0769230769,0.1111111111,0,26
Rio Bonito,0.492,0.0384615385,0,0.0769230769,26
Maracanã,0.518,0.1153846154,0,0.25,26
Biguaçu,0.493,0.0769230769,0.0952380952,0,26
Ponte Nova,0.479,0.0384615385,0,0.1,26
Caxias,0.484,0.08,0.0833333333,0.0769230769,25
Cajamar,0.499,0.04,0.0625,0,25
Franco da Rocha,0.513,0,0,0,25
Canela,0.487,0.2,0.0833333333,0.3076923077,25
Ferraz de Vasconcelos,0.488,0.08,0.0952380952,0,25
Santa Isabel,0.5,0.04,0.0666666667,0,25
Mongaguá,0.499,0.04,0,0.0714285714,25
Cruz Alta,0.474,0,0,0,25
Registro,0.491,0,0,0,25
São Gabriel,0.487,0.0416666667,0,0.1428571429,24
São Sebastião,0.499,0.2083333333,0.125,0.375,24
Sarandi,0.493,0.125,0.2307692308,0,24
Coimbra,0.503,0.0416666667,0.0714285714,0,24
Gaspar,0.495,0.0416666667,0,0.1,24
Caldas Novas,0.497,0,0,0,24
Urussanga,0.491,0.2083333333,0.0714285714,0.4,24
Guaxupé,0.498,0.0833333333,0.0769230769,0.0909090909,24
Marataízes,0.494,0.1666666667,0.1538461538,0.1818181818,24
Marmelópolis,0.502,0.0434782609,0,0.0666666667,23
Sobradinho,0.491,0.0434782609,0,0.0833333333,23
Patrocínio Paulista,0.507,0.0869565217,0,0.2222222222,23
Parobé,0.494,0.0434782609,0,0.0909090909,23
Charqueadas,0.553,0.0434782609,0.0625,0,23
Pontal do Paraná,0.495,0.0434782609,0.0769230769,0,23
Iguaba Grande,0.483,0.1304347826,0.0833333333,0.1818181818,23
Serra Negra,0.488,0.1304347826,0,0.375,23
Guarabira,0.483,0,0,0,23
São Bento do Sul,0.498,0.0869565217,0.0666666667,0.125,23
Venâncio Aires,0.495,0.0869565217,0,0.25,23
Iguatu,0.481,0.0434782609,0.0714285714,0,23
Jequié,0.485,0.0454545455,0,0.1,22
Campo Largo,0.495,0.1818181818,0.0714285714,0.375,22
Arapongas,0.49,0.1363636364,0.0714285714,0.25,22
Formiga,0.493,0.0454545455,0,0.1111111111,22
Unaí,0.507,0.0454545455,0.0714285714,0,22
Santo Antônio da Patrulha,0.498,0.0909090909,0.0909090909,0.0909090909,22
Goiatuba,0.499,0.1904761905,0,0.2857142857,21
Irati,0.493,0.1904761905,0.3076923077,0,21
