MUNICIPIO,Y,X,W1,W2,N
Sombrio,0.659,0.1333333333,0.0588235294,0.2727272727,45
Catanduva,0.584,0.1111111111,0.0810810811,0.125,45
Tucuruí,0.783,0.1111111111,0.1052631579,0,45
Ibirité,0.718,0.0444444444,0.0333333333,0.0666666667,45
Crato,0.692,0.0888888889,0.0882352941,0,45
Vassouras,0.613,0.1777777778,0.1764705882,0.0909090909,45
Cosmópolis,0.671,0.25,0.2857142857,0.1111111111,44
Barcelona,0.634,0.0227272727,0,0,44
Passos,0.621,0.0465116279,0.03125,0,43
São Francisco do Sul,0.632,0.0930232558,0.0606060606,0.1,43
Rio Grande,0.605,0.0930232558,0.09375,0,43
Itapecerica da Serra,0.709,0.0697674419,0.0333333333,0.0769230769,43
Cruz Alta,0.6,0.0465116279,0.027027027,0,43
Nova Odessa,0.632,0.1627906977,0.2058823529,0,43
Mariana,0.683,0.1162790698,0.1481481481,0,43
Porto Seguro,0.764,0.0714285714,0.04,0.0588235294,42
Anchieta,0.661,0.1428571429,0.0909090909,0.2222222222,42
União da Vitória,0.651,0.0952380952,0.0967741935,0.0909090909,42
Biguaçu,0.673,0.0952380952,0.0555555556,0.3333333333,42
Cianorte,0.633,0.0952380952,0.0606060606,0.1111111111,42
Itapeva,0.67,0.0487804878,0.0333333333,0,41
Santa Teresa,0.602,0.1463414634,0.09375,0.2222222222,41
Vila Rica,0.741,0.1219512195,0.0833333333,0.2,41
Barra do Garças,0.673,0.1219512195,0.0967741935,0.1,41
Matinhos,0.621,0.1219512195,0.0714285714,0.1538461538,41
Itararé,0.652,0.1219512195,0.0769230769,0.1333333333,41
Jequié,0.675,0.0487804878,0,0.0666666667,41
Cachoeira do Sul,0.553,0.075,0.08,0,40
Coimbra,0.596,0.1,0.0625,0.125,40
Votuporanga,0.582,0.125,0.0967741935,0.1111111111,40
Garopaba,0.627,0.2,0.1,0.4,40
Jandira,0.71,0.175,0.1538461538,0.1428571429,40
Caçador,0.673,0.1,0.1034482759,0,40
Joaçaba,0.612,0.125,0.1290322581,0,40
São Bento do Sul,0.674,0.1025641026,0.1153846154,0.0769230769,39
Registro,0.65,0.0256410256,0,0,39
Corumbá,0.699,0.0256410256,0,0,39
Santos Dumont,0.592,0.1282051282,0.1212121212,0,39
Cajamar,0.715,0.0789473684,0,0.25,38
São Sebastião,0.693,0.2368421053,0.1739130435,0.2666666667,38
Santa Isabel,0.65,0.1842105263,0.1071428571,0.3,38
Ponte Nova,0.611,0.1578947368,0.1538461538,0.0833333333,38
Patrocínio Paulista,0.642,0.1315789474,0.04,0.2307692308,38
Catalão,0.663,0.0263157895,0,0,38
Valparaíso,0.667,0.1052631579,0.0294117647,0.5,38
Barreiras,0.748,0.1315789474,0.1111111111,0.1818181818,38
Sarandi,0.669,0.1351351351,0.0666666667,0.2857142857,37
Ferraz de Vasconcelos,0.704,0.1621621622,0.125,0.2,37
Sobradinho,0.709,0.1081081081,0.1153846154,0,37
Gaspar,0.66,0.1081081081,0.1111111111,0,37
Indaial,0.666,0.1081081081,0.0967741935,0.1666666667,37
Itabirito,0.648,0.0833333333,0.0357142857,0.125,36
Caxias,0.714,0.1111111111,0.08,0.0909090909,36
Garibaldi,0.582,0.2222222222,0.2,0.1666666667,36
