MUNICIPIO,Y,X,W1,W2,N
Santana de Parnaíba,0.68,0.1904761905,0.1621621622,0.1923076923,63
São Mateus,0.693,0.1587301587,0.1914893617,0,63
Pato Branco,0.651,0.0952380952,0.0816326531,0.0714285714,63
Arraial do Cabo,0.605,0.0952380952,0.0975609756,0.0454545455,63
Araranguá,0.644,0.126984127,0.119047619,0.0952380952,63
Salto,0.641,0.0476190476,0.0465116279,0,63
Cubatão,0.684,0.0806451613,0.0285714286,0.1111111111,62
São José do Cerrito,0.579,0.0806451613,0.0869565217,0.0625,62
Lauro de Freitas,0.709,0.1290322581,0.15625,0.0666666667,62
Lajeado,0.624,0.1451612903,0.1136363636,0.1666666667,62
Ijuí,0.591,0.1451612903,0.1025641026,0.1739130435,62
Navegantes,0.681,0.1612903226,0.1666666667,0.1,62
Guaíba,0.628,0.064516129,0.0625,0,62
Ilhota,0.663,0.1967213115,0.1666666667,0.2105263158,61
Itapema,0.649,0.0819672131,0.0816326531,0.0833333333,61
Araxá,0.626,0.05,0.0222222222,0.0666666667,60
São Pedro da Aldeia,0.648,0.1355932203,0.119047619,0.1176470588,59
Ilhéus,0.674,0.1016949153,0.1212121212,0.0384615385,59
Congonhas,0.653,0.1016949153,0.0967741935,0.0714285714,59
Carazinho,0.599,0.1551724138,0.1111111111,0.2307692308,58
Embu,0.714,0.1551724138,0.175,0.0555555556,58
Rio do Sul,0.642,0.1206896552,0.1020408163,0.1111111111,58
Barretos,0.609,0.1206896552,0.1176470588,0.125,58
Penha,0.629,0.1724137931,0.1219512195,0.2352941176,58
Armação dos Búzios,0.665,0.1578947368,0.1388888889,0.1428571429,57
Itabira,0.645,0.1052631579,0.0681818182,0.1538461538,57
Assis,0.598,0.1578947368,0.1388888889,0.1428571429,57
Abreu e Lima,0.67,0.0701754386,0,0.1304347826,57
Barbacena,0.605,0.1052631579,0.0697674419,0.1428571429,57
Sapucaia do Sul,0.644,0.125,0.0833333333,0.15,56
Paulínia,0.671,0.1428571429,0.1666666667,0,56
Sumaré,0.684,0.1090909091,0.1388888889,0,55
Francisco Beltrão,0.648,0.1090909091,0.1086956522,0,55
Santa Cruz,0.697,0.1090909091,0.1351351351,0.0555555556,55
Maracanaú,0.719,0.1481481481,0.1875,0.0454545455,54
São João del Rei,0.585,0.1296296296,0.1891891892,0,54
Caçapava,0.64,0.1481481481,0.1666666667,0,54
Teófilo Otoni,0.648,0.1666666667,0.1842105263,0.0625,54
Arapiraca,0.711,0.037037037,0,0.0476190476,54
Itaperuna,0.602,0.0925925926,0.1,0,54
Osório,0.609,0.1509433962,0.1621621622,0.0625,53
Itaquaquecetuba,0.723,0.1132075472,0.1,0.0869565217,53
Ourinhos,0.613,0.1132075472,0.125,0.0476190476,53
Lagoa Santa,0.646,0.0754716981,0.1111111111,0,53
Içara,0.647,0.1698113208,0.1034482759,0.2083333333,53
Cachoeiro de Itapemirim,0.641,0.0566037736,0.075,0,53
Botucatu,0.62,0.0769230769,0.0769230769,0,52
Santa Bárbara d'Oeste,0.624,0.1538461538,0.1388888889,0.125,52
Colatina,0.626,0.0961538462,0.125,0.05,52
Birigui,0.611,0.1730769231,0.2051282051,0,52
Valença,0.588,0.1176470588,0.0789473684,0.1538461538,51
Pouso Alegre,0.638,0.1176470588,0.1,0.1428571429,51
